사업자등록번호,순번,데이터수집일자,기업코드,경영진명,직위코드,직위명칭,담당업무명,등기상태,등기상태명,경영진영문명,우편번호,주소,상세주소,학력명세,주요경력사항,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1208600046,10,20220216,1731209,박**,62,상무이사,인사,2,비등기,Park Jeong Hun,,,,,IDSTRUST 05.0707.12서울TRS 00.0205.06LG칼텍스가스95.,I,20221114,,
1208600046,11,20220216,1731209,최**,62,상무이사,,2,비등기,Choe U Seong,,,,,에스피에이스 10.0716.04블루젠 04.1105.06인젠 01.0804,I,20221114,,
1208600046,12,20220216,1731209,홍**,76,사외이사,,1,등기,Hong Seok Mo,,,,,강원대 법학전문대학원 교수 09.02현재제주대학교 법학부 교,I,20221114,,
1208600046,13,20220216,1731209,조**,81,감사,,1,등기,Jo Du Hyeon,,,,부산대학교,넥스비텍 0006삼성SDS 9100제일제당 7591,I,20221114,,
1208600046,14,20220216,1731209,윤**,999,기타,,,,,,,,,엑셈 17.1019.04티맥스소프트 03.0717.09,I,20221114,,
1208600046,15,20220216,1731209,윤**,999,기타,,,,,,,,,디지털페이지 18.0619.12KT 10.0918.01,I,20221114,,
1138100047,1,20220222,1952216,김**,30,대표이사사장,,,,,,,,,,I,20221114,,
1028600048,1,20210923,9193639,이**,30,대표이사사장,,,,,,,,,,I,20221114,,
1351900049,1,,,,,,,,,,,,,,,I,20221114,,
1252300050,1,,,,,,,,,,,,,,,I,20221114,,
5632800051,1,,,,,,,,,,,,,,,I,20221114,,
1048100052,1,,,,,,,,,,,,,,,I,20221114,,
1288100053,1,20210902,1432363,허**,28,대표이사,,,,,,,,경북대학교,,I,20221114,,
1288100053,2,20210902,1432363,신**,43,부사장,,,,,,,,경희대학교,,I,20221114,,
1288100053,3,20210902,1432363,박**,999,기타,,,,,,,,,,I,20221114,,
1050300054,1,,,,,,,,,,,,,,,I,20221114,,
1050500055,1,,,,,,,,,,,,,,,I,20221114,,
8048800056,1,20220126,8511990,최**,30,대표이사사장,,,,,,,,,주에이츠 대표이사,I,20221114,,
6818100057,1,,,,,,,,,,,,,,,I,20221114,,
4168100058,1,,,,,,,,,,,,,,,I,20221114,,
1368100059,1,20210902,6420836,방**,30,대표이사사장,,,,,,,,,주오에이티씨 대표이사,I,20221114,,
1368100059,2,20210902,6420836,강**,71,이사,이사 (CFO),,,,,,,,,I,20221114,,
1368100059,3,20210902,6420836,위**,71,이사,이사 (CTO),,,,,,,,,I,20221114,,
1368100059,4,20210902,6420836,조**,71,이사,전무 (COO),,,,,,,,,I,20221114,,
6698800060,1,20211129,8854561,지**,71,이사,,,,,,,,,,I,20221114,,
7838500061,1,,,,,,,,,,,,,,,I,20221114,,
1090600062,1,,,,,,,,,,,,,,,I,20221114,,
2298100063,1,20210902,1881076,정**,30,대표이사사장,,,,,13600,경기도 성남시 분당구 수내로,"206, 301동 1301호 (수내동,푸른마을)",한양대학교 MBA2007.8, 줌인터넷 부사장  현 이스트소프트 대표이사,I,20221114,,
2298100063,2,20210902,1881076,김**,71,이사,마케팅,2,비등기,Kim Myeong Seop,,,,, 이스트소프트 비지니스본부장,I,20221114,,
2298100063,3,20210902,1881076,김**,71,이사,경영지원,1,등기,Kim Jang Joong,,,,한양대학교 MBA2005.3, 주이스트소프트 설립,I,20221114,,
2298100063,4,20210902,1881076,김**,71,이사,,,,,,,,, 현 이스트소프트 영업본부장,I,20221114,,
2298100063,5,20210902,1881076,배**,71,이사,기획,2,비등기,Bae Jae Hyeon,,,,, 현 이스트소프트 경영기획실장,I,20221114,,
2298100063,6,20210902,1881076,서**,71,이사,,,,,,,,, 현 이스트소프트 최고재무관리자,I,20221114,,
