사업자등록번호,데이터수집일자,기업코드,기업명,업종,업종명,기업규모,기업규모명,CRI등급,CRI기준일,결산일자,CRI등급설명,CRI등급명세,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018100028,20220107,1538031,계*****,M,,2,중소기업,A3,20211231,20191231,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",우수,I,20221104,,
1018100028,,,,,,,,,,,,,I,20221104,,
1018100029,20221022,1725967,케****,,정보통신업,,중소기업,A2,20220719,,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",,I,20221104,,
1018100029,,,,,,,,,,,,,I,20221104,,
1018100030,20221022,1156827,삼****,,도매 및 소매업,,중소기업,A3,20220719,,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",,I,20221104,,
1018100030,20220418,1156827,삼****,M,,2,중소기업,A3,20220415,20200630,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",우수,I,20221104,,
1018100030,20220107,1156827,삼****,M,,2,중소기업,A3,20220101,20200630,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",우수,I,20221104,,
1018100030,,,,,,,,,,,,,I,20221104,,
1018100031,20221022,1644507,아****,,"전문, 과학 및 기술 서비스업",,중소기업,C2,20220719,,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준",,I,20221104,,
1018100031,,,,,,,,,,,,,I,20221104,,
1018100032,20221022,1144503,헥****,,정보통신업,,중소기업,A2,20220719,,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",,I,20221104,,
1018100032,,,,,,,,,,,,,I,20221104,,
1018100033,20221022,1642481,예****,,건 설 업,,중소기업,B1,20220719,,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",,I,20221104,,
1018100033,20220418,1642481,예****,M,,2,중소기업,B1,20220415,20211231,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1018100033,20220107,1642481,예****,M,,2,중소기업,B1,20211231,20201231,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1018100033,,,,,,,,,,,,,I,20221104,,
1018100034,20221022,1981843,쏜****,,정보통신업,,중소기업,C3,20220719,,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준,,I,20221104,,
1018100034,,,,,,,,,,,,,I,20221104,,
1018100035,20221022,1569517,공****,,건 설 업,,중소기업,A3,20220719,,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",,I,20221104,,
1018100035,,,,,,,,,,,,,I,20221104,,
1018100036,20221022,1670643,천****,,부동산업,,중소기업,C1,20220719,,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준",,I,20221104,,
1018100036,,,,,,,,,,,,,I,20221104,,
1018100037,20221022,1614408,오****,,정보통신업,,중소기업,A2,20220719,,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",,I,20221104,,
1018100037,,,,,,,,,,,,,I,20221104,,
1018100038,20221022,1146772,밀****,,금융 및 보험업,,중소기업,NG,20220719,,지급불능 상태의 매우 취약한 신용능력을 나타내어 적기 상환능력이 전무한 수준,,I,20221104,,
1018100038,20220418,1146772,밀****,M,,2,중소기업,B2,20220418,20201231,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",양호,I,20221104,,
1018100038,20220107,1146772,밀****,M,,2,중소기업,B2,20211231,20201231,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",양호,I,20221104,,
1018100038,,,,,,,,,,,,,I,20221104,,
1018100039,20221022,1435515,자****,,건 설 업,,중소기업,B1,20220719,,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",,I,20221104,,
1018100039,20220418,1435515,자*****,M,,2,중소기업,B1,20220415,20211231,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1018100039,20220107,1435515,자*****,M,,2,중소기업,B2,20211231,20201231,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",양호,I,20221104,,
1018100039,,,,,,,,,,,,,I,20221104,,
