사업자등록번호,순번,데이터수집일자,데이터구분,과제명,과제코드,성과ID,성과고유번호,성과년도,과제기준년도,부처코드,부처명,예산사업코드,예산사업명,연구수행기관코드,연구수행주체명,6T코드,6T분류명,국가기술지도코드,국가기술지도명,과학기술표준대분류코드,과학기술표준대분류명,과학기술표준중분류코드,과학기술표준중분류명,과학기술표준소분류코드,과학기술표준소분류명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018600072,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600072,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600073,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600074,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600074,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600075,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600076,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600076,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600077,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600078,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600079,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600080,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600080,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600081,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600082,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600082,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600083,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600083,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600084,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600084,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600085,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600085,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600086,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600086,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600087,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600087,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600088,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600089,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600089,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600090,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600090,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600091,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600091,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600092,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600092,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600093,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600093,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600094,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600094,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600095,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600096,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600097,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600097,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600098,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600099,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600100,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600100,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600101,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600101,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600102,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600103,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600104,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600105,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600105,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600106,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600106,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600107,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600107,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600108,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600109,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600109,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600110,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600111,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600111,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600112,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600113,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600113,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600114,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600114,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600115,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600115,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600116,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600116,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600117,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600117,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600118,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600118,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600119,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600119,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600120,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600120,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600121,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018600121,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
