"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","ADDRESS"
"1208629659",오성물산,박성호,"20011121","경기도 성남시 수정구 심곡로 13, 101호 (심곡동)"
"2118700542",비엠케이리미티드,박찬근,"20010906","서울특별시 강남구 압구정로42길 23 (신사동,비엠케이큐브)"
"4098164874",호남피앤지,문정희,"20011112",전라남도 장성군 진원면 진남2로 397 (선적리)
"2128155091",바이오사이언스그룹,안승용,"20011129",서울특별시 강동구 진황도로47길 61 (길동)
"1058625668",아이웰그룹,서대호,"20010525","서울특별시 중구 청계천로 100 1016호 (수표동,시그니쳐타워)"
"1238167851",우진트레이딩,김선연외 1명,"20010613","경기 안양시 만안구 덕천로 34 202호 (안양동,명지이스페이스)"
"5028160954",코리아대동,강동일외 1명,"20011120",대구광역시 동구 팔공로45길 11 (봉무동)
"1208624673",지연코스메틱,김보경,"20010731","서울 금천구 가산디지털1로 149 7층 705호 (가산동,신한이노플렉스)"
"2208614403",이엠에스트레이드,김기향,"20010615","서울특별시 강남구 논현로30길 32 2층 (도곡동,경희빌딩)"
"2118672597",더메스테릭스,앤순리,"20010322", 
"3058142689",뱅크,오성한,"20010102","대전 서구 대덕대로 137 5층 (갈마동,동해빌딩)"
"2148681682",씨티케이,정인용,"20010510","서울 서초구 효령로 234 (서초동,CTK사옥)"
"4098165970",백옥에스원,박석원,"20020114",광주 북구 필문대로 95-1 (풍향동)
"1178139710",여성시대삼육오,김윤옥,"20020525","서울특별시 양천구 신목로 97 503호 (목동,정산빌딩)"
"1078613358",제이아이씨엔터프라이즈,장광식,"20020221","서울 영등포구 여의서로 43 703호 (여의도동,한서오피스텔)"
"1178141496",피앤엘뷰티,이강희,"20021001",경기도 고양시 덕양구 통일로542번길 91 (대자동)
"1148621123",뷰애드,강성익,"20020712",서울 서초구 서초중앙로33길 6-6 (반포동)
"2158628109",제이앤씨화장품,이정원,"20020703","경기도 하남시 미사강변중앙로31번길 15 701호 (풍산동,하남미사희가로프리미어)"
"1298153660",하스코스,박하성,"20020819","경기 성남시 중원구 둔촌대로457번길 27 805,514호 (상대원동,우림라이온스벨리1차)"
"2118713241",아로마로즈,차경희,"20020425","서울특별시 광진구 용마산로 32, 3층 (중곡동)"
"1078620107",와이앤케이어소시에이트,양민아,"20020710","서울특별시 강서구 공항대로 213 501호 (마곡동,보타닉파크타워2)"
"1238179508",이너프,이월자,"20020701",경기도 군포시 당산로135번길 6 (금정동)
"6058149942",벨란티코리아,손동택,"20020101","부산광역시 사상구 모라로 22 912호 (모라동,부산벤처타워)"
"2148705658",제이엠월드,박영진,"20020220",경기 과천시 뒷골2로 12 (과천동)
"2148703359",실리콘투,김성운,"20020119","경기도 성남시 분당구 판교역로 231 S동 907호 (삼평동,에이치스퀘어)"
"2118708068",알렉스코스메틱아시아,김미옥,"20020115",경기도 양평군 양서면 대심길 24-19 (국수리)
"2208652824",차바이오에프앤씨,김석진,"20021204","경기 성남시 분당구 판교로 335 6층 (삼평동,차병원그룹판교종합연구원)"
"1088156791",유케이인터팜,장승팔,"20020903",경기 화성시 장안면 3.1만세로 482 (수촌리)
"2208653013",예봉인터내셔날,김창우,"20021205","서울특별시 강남구 강남대로 310 1210호 (역삼동,유니온센터)"
"2208636090",티디씨,채경아,"20020419","서울특별시 송파구 백제고분로 75 1003호 (잠실동,올림피아빌딩)"
"1198157806",녹십초,박광수,"20020611","서울특별시 송파구 송파대로 438, 9층 901호 (송파동,녹십초쿨샤)"
"1208635850",디에이치씨코리아아이엔씨,김무전,"20020410","서울특별시 용산구 한강대로 95 303호 (한강로2가,래미안용산더센트럴)"
"2108139246",영원케이앤에스,양택석,"20020208",강원도 원주시 라옹정길 51-7 3층 308호 (관설동)
"1298148702",에이치엠제이코리아,양현모외  1명,"20020209",서울특별시 강남구 논현로 320 (역삼동)
"2018571792",비필,박인규,"20020313","서울특별시 중구 을지로 16, 1101호 (을지로1가,프레지던트호텔)"
"2208666973",이엘코스,김상윤,"20030709","경기도 성남시 중원구 둔촌대로 227 3층 (하대원동,씨엔케이빌딩)"
"1308600775",인스코스,김영택,"20030923",충청남도 천안시 서북구 직산읍 모시1길 148 (모시리)
"2048179170",셀비오,이태겸,"20030618",서울 송파구 올림픽로12길 40 2층 (잠실동)
"2068184913",천리상사,신석철,"20030920",경기도 성남시 분당구 성남대로43번길 11 (구미동)
"1288182309",경회루,이강태,"20030801",경기도 고양시 덕양구 화수로14번길 40 (화정동)
"2118743162",에프에스비앤피,정숙진,"20031223","서울특별시 강남구 영동대로 513 (삼성동,코엑스몰 아이114)"
"4028155734",샘코스메틱,안정주,"20030901",전라북도 전주시 완산구 영선로 7-20 (중화산동2가)
"1018198126",바움,신수호,"20031007",인천광역시 계양구 아나지로 409 (작전동)
"2208669325",샤본다마코리아,이기덕,"20030814","경기도 안양시 동안구 시민대로365번길 40 C동 3705호 (관양동,동일테크노타운)"
"1078644278",씨유스킨,김현철,"20031231",충북 청주시 흥덕구 오송읍 오송생명10로 151 (정중리)
"2118740485",미애부,김현철,"20031006","서울 서초구 헌릉로 176 601호 (내곡동,서울영동농협종합시설)"
"1278184546",새롬에이치앤씨,김은호,"20031215",경기 연천군 연천읍 연군로 119 2층 (읍내리)
"2068184567",지피클럽,김정웅,"20030905","서울특별시 용산구 원효로 152 (원효로3가,지피클럽용산사옥)"
"1088159615",티나인,김윤수,"20030313",서울 송파구 중대로9길 53-5 (가락동)
"2208665713",이노패스인터내셔널인코퍼레이티드,한지훈,"20030620","서울특별시 서초구 바우뫼로27길 7-35 3층 (양재동,성우빌딩)"
"1138187506",오가닉솔루션,이상찬,"20031020","인천광역시 연수구 송도미래로 30 D동 904호 (송도동,송도비알씨스마트밸리지식산업센터)"
"1208651689",엔에이치티케이,크리스태지은챙,"20030428","서울특별시 영등포구 문래북로 116 1004호 (문래동3가,트리플렉스)"
"3058162521",에스더코스메틱,김준연,"20030423",대전광역시 중구 대종로488번길 31 (은행동)
