사업자등록번호,순번,데이터수집일자,언론사명,기사날짜,기사제목,기사내용,기자명,URL링크,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018600097,1,20220321,,,,,,,I,20221104,,
1018600097,2,,,,,,,,I,20221104,,
1018600098,1,,,,,,,,I,20221104,,
1018600099,1,,,,,,,,I,20221104,,
1018600100,1,20220324,,,,,,,I,20221104,,
1018600100,2,,,,,,,,I,20221104,,
1018600101,1,20220321,,,,,,,I,20221104,,
1018600101,2,,,,,,,,I,20221104,,
1018600102,1,20220321,,,,,,,I,20221104,,
1018600102,2,,,,,,,,I,20221104,,
1018600103,1,20220321,,,,,,,I,20221104,,
1018600103,2,,,,,,,,I,20221104,,
1018600104,1,20220321,,,,,,,I,20221104,,
1018600104,2,,,,,,,,I,20221104,,
1018600105,1,20220321,,,,,,,I,20221104,,
1018600105,2,,,,,,,,I,20221104,,
1018600106,1,20220324,,,,,,,I,20221104,,
1018600106,2,,,,,,,,I,20221104,,
1018600107,1,20220321,,,,,,,I,20221104,,
1018600107,2,,,,,,,,I,20221104,,
1018600108,1,,,,,,,,I,20221104,,
1018600109,1,20220321,,,,,,,I,20221104,,
1018600109,2,,,,,,,,I,20221104,,
1018600110,1,20220321,,,,,,,I,20221104,,
1018600110,2,,,,,,,,I,20221104,,
1018600111,1,20220324,,,,,,,I,20221104,,
1018600111,2,,,,,,,,I,20221104,,
1018600112,1,20220321,,,,,,,I,20221104,,
1018600112,2,,,,,,,,I,20221104,,
1018600113,1,20220324,파이낸셜뉴스,20191218,"""도자산업의 뿌리 식문화… 전세계에 한식부터 알려야 했죠""[도자명가, 문화를 빚다]",,,,I,20221104,,
1018600113,2,,,,,,,,I,20221104,,
1018600114,1,20220321,,,,,,,I,20221104,,
1018600114,2,,,,,,,,I,20221104,,
1018600115,1,20220324,,,,,,,I,20221104,,
1018600115,2,,,,,,,,I,20221104,,
1018600116,1,20220321,,,,,,,I,20221104,,
1018600116,2,,,,,,,,I,20221104,,
1018600117,1,20220324,,,,,,,I,20221104,,
1018600117,2,,,,,,,,I,20221104,,
1018600118,1,20220324,,,,,,,I,20221104,,
1018600118,2,,,,,,,,I,20221104,,
1018600119,1,20220324,,,,,,,I,20221104,,
1018600119,2,,,,,,,,I,20221104,,
1018600120,1,20220321,,,,,,,I,20221104,,
1018600120,2,,,,,,,,I,20221104,,
1018600121,1,20220324,,,,,,,I,20221104,,
1018600121,2,,,,,,,,I,20221104,,
1018700122,1,20220324,AP신문,20220105,[AP미디어동향 1월1주] 국내 신문사 절반… 1억 이하 매출 外,,,,I,20221104,,
1018700122,2,,,,,,,,I,20221104,,
1018700123,1,20220324,,,,,,,I,20221104,,
1018700123,2,,,,,,,,I,20221104,,
1018800124,1,,,,,,,,I,20221104,,
1019000125,1,20220324,,,,,,,I,20221104,,
1019000125,2,,,,,,,,I,20221104,,
1019100126,1,20220324,,,,,,,I,20221104,,
1019100126,2,,,,,,,,I,20221104,,
1021800127,1,20220324,전자신문,20201015,"""코로나로 제조업이 다시 각광...인천은 기회 지역""",,,,I,20221104,,
1021800127,2,,,,,,,,I,20221104,,
1022500128,1,,,,,,,,I,20221104,,
1028100129,1,20220321,,,,,,,I,20221104,,
1028100129,2,,,,,,,,I,20221104,,
1028100130,1,20220324,,,,,,,I,20221104,,
1028100130,2,,,,,,,,I,20221104,,
1028100131,1,20220324,,,,,,,I,20221104,,
1028100131,2,,,,,,,,I,20221104,,
1028100132,1,20220321,,,,,,,I,20221104,,
1028100132,2,,,,,,,,I,20221104,,
1028100133,1,20220321,,,,,,,I,20221104,,
1028100133,2,,,,,,,,I,20221104,,
1028100134,1,20220324,연합뉴스,20220322,'새 정부의 재외동포청 설립 향방은'…30일 정책포럼 개최,,,,I,20221104,,
1028100134,2,,,,,,,,I,20221104,,
1028100135,1,20220321,,,,,,,I,20221104,,
1028100135,2,,,,,,,,I,20221104,,
1028100136,1,20220324,세정신문,20220303,"국세청, 제56회 납세자의 날 모범납세자 1천6명 공개",,,,I,20221104,,
1028100136,2,,,,,,,,I,20221104,,
1028100137,1,,,,,,,,I,20221104,,
1028100138,1,20220324,,,,,,,I,20221104,,
1028100138,2,,,,,,,,I,20221104,,
1028100139,1,20220321,,,,,,,I,20221104,,
1028100139,2,,,,,,,,I,20221104,,
1028100140,1,20220321,,,,,,,I,20221104,,
1028100140,2,,,,,,,,I,20221104,,
1028100141,1,20220321,,,,,,,I,20221104,,
1028100141,2,,,,,,,,I,20221104,,
1028100142,1,20220321,,,,,,,I,20221104,,
1028100142,2,,,,,,,,I,20221104,,
1028100143,1,20220321,,,,,,,I,20221104,,
1028100143,2,,,,,,,,I,20221104,,
1028100144,1,20220321,,,,,,,I,20221104,,
1028100144,2,,,,,,,,I,20221104,,
1028100145,1,20220321,,,,,,,I,20221104,,
1028100145,2,,,,,,,,I,20221104,,
1028100146,1,20220321,,,,,,,I,20221104,,
1028100146,2,,,,,,,,I,20221104,,
1028100147,1,20220324,소비자가 만드는 신문,20201209,"[사회를 위한 기업, 기업을 위한 사회㉓] 동국제강, 3대째 '나눔경영' 실천...사회공헌부터 상생까지 고른 활동",,,,I,20221104,,
1028100147,2,,,,,,,,I,20221104,,
